customer_id,trade_date,symbol,asset_name,market,side,quantity,price,theme
C001,2026-01-12,NVDA,엔비디아,미국,BUY,18,195000,AI·반도체
C001,2026-02-03,005930,삼성전자,국내,BUY,30,82000,AI·반도체
C001,2026-03-18,SOXX,미국 반도체 ETF,미국,BUY,12,310000,AI·반도체
C001,2026-04-08,NVDA,엔비디아,미국,BUY,7,171000,AI·반도체
C001,2026-04-09,TSLA,테슬라,미국,BUY,8,318000,모빌리티
C001,2026-05-22,TSLA,테슬라,미국,SELL,3,342000,모빌리티
C001,2026-06-15,000660,SK하이닉스,국내,BUY,12,248000,AI·반도체
C001,2026-07-29,NVDA,엔비디아,미국,SELL,5,226000,AI·반도체
C001,2026-09-02,KODEX200,KODEX 200,국내,BUY,25,41000,국내지수
C001,2026-10-14,SOXX,미국 반도체 ETF,미국,SELL,4,351000,AI·반도체
C001,2026-11-09,TSLA,테슬라,미국,BUY,4,365000,모빌리티
C001,2026-12-03,005930,삼성전자,국내,BUY,15,94000,AI·반도체
C002,2026-01-05,VT,글로벌 주식 ETF,미국,BUY,8,160000,글로벌분산
C002,2026-02-05,VT,글로벌 주식 ETF,미국,BUY,8,164000,글로벌분산
C002,2026-03-05,BND,미국 채권 ETF,미국,BUY,10,105000,채권
C002,2026-04-14,VT,글로벌 주식 ETF,미국,BUY,10,150000,글로벌분산
C002,2026-05-07,KODEXTRF,KODEX TRF3070,국내,BUY,35,12800,자산배분
C002,2026-06-04,VT,글로벌 주식 ETF,미국,BUY,8,167000,글로벌분산
C002,2026-07-06,BND,미국 채권 ETF,미국,BUY,10,107000,채권
C002,2026-08-06,TIGER미국S&P500,TIGER 미국S&P500,국내,BUY,30,22500,글로벌분산
C002,2026-09-04,VT,글로벌 주식 ETF,미국,BUY,8,173000,글로벌분산
C002,2026-10-07,KODEXTRF,KODEX TRF3070,국내,BUY,35,13300,자산배분
C002,2026-11-05,BND,미국 채권 ETF,미국,BUY,10,109000,채권
C002,2026-12-04,VT,글로벌 주식 ETF,미국,BUY,8,178000,글로벌분산
C003,2026-01-19,TSLA,테슬라,미국,BUY,7,352000,모빌리티
C003,2026-01-28,TSLA,테슬라,미국,SELL,7,371000,모빌리티
C003,2026-02-11,PLTR,팔란티어,미국,BUY,20,182000,AI·소프트웨어
C003,2026-02-24,PLTR,팔란티어,미국,SELL,20,174000,AI·소프트웨어
C003,2026-03-06,000660,SK하이닉스,국내,BUY,15,252000,AI·반도체
C003,2026-03-17,000660,SK하이닉스,국내,SELL,15,270000,AI·반도체
C003,2026-03-25,NVDA,엔비디아,미국,BUY,10,201000,AI·반도체
C003,2026-04-07,NVDA,엔비디아,미국,SELL,10,179000,AI·반도체
C003,2026-04-07,NVDA,엔비디아,미국,BUY,10,201000,AI·반도체
C003,2026-04-08,TSLA,테슬라,미국,SELL,6,309000,모빌리티
C003,2026-04-01,TSLA,테슬라,미국,BUY,6,336000,모빌리티
C003,2026-05-04,COIN,코인베이스,미국,BUY,8,297000,디지털자산
C003,2026-05-11,COIN,코인베이스,미국,SELL,8,326000,디지털자산
C003,2026-06-02,NVDA,엔비디아,미국,BUY,9,213000,AI·반도체
C003,2026-06-12,NVDA,엔비디아,미국,SELL,9,219000,AI·반도체
C003,2026-07-20,035720,카카오,국내,BUY,45,62000,플랫폼
C003,2026-08-05,035720,카카오,국내,SELL,45,58400,플랫폼
C003,2026-09-11,SOXL,반도체 3배 ETF,미국,BUY,30,47000,AI·반도체
C003,2026-09-18,SOXL,반도체 3배 ETF,미국,SELL,30,52000,AI·반도체
C003,2026-10-21,TSLA,테슬라,미국,BUY,5,381000,모빌리티
C003,2026-11-02,TSLA,테슬라,미국,SELL,5,359000,모빌리티
C003,2026-12-09,KODEX200,KODEX 200,국내,BUY,20,42500,국내지수
C003,2026-12-18,KODEX200,KODEX 200,국내,SELL,20,43100,국내지수
